date,description,category,amount
2024-01-03,Morning Coffee,Food,4.50
2024-01-05,Bus Pass (Monthly),Transport,65.00
2024-01-07,Grocery Store,Food,52.30
2024-01-08,Netflix Subscription,Entertainment,15.99
2024-01-10,Electric Bill,Utilities,89.00
2024-01-12,Lunch with Friends,Food,28.75
2024-01-14,Uber Ride,Transport,18.50
2024-01-15,Gym Membership,Shopping,45.00
2024-01-17,Phone Bill,Utilities,55.00
2024-01-18,Movie Tickets,Entertainment,24.00
2024-01-20,Grocery Store,Food,61.40
2024-01-22,Gas Station,Transport,42.00
2024-01-23,Book Purchase,Shopping,16.99
2024-01-25,Water Bill,Utilities,35.00
2024-01-26,Coffee Shop,Food,5.75
2024-01-27,Streaming Service,Entertainment,12.99
2024-01-28,Parking Garage,Transport,12.00
2024-01-29,Clothing Store,Shopping,78.50
2024-01-30,Internet Bill,Utilities,59.99
2024-01-31,Takeout Dinner,Food,32.50
